lat, lon, speed, heading, alt, temp, hum, pres, roll, pitch, yaw, x, y, z
0,0,0,0,0,22.76,35.56,1023.26,-1.08,-0.42,150.22,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.76,35.57,1023.26,-0.85,-0.34,148.39,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.76,35.58,1023.26,-0.67,-0.41,146.5,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.76,35.59,1023.75,-0.52,5.17,144.62,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.76,35.61,1023.5,-0.44,-0.66,142.9,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.76,35.61,1023.5,-0.24,-0.58,141.14,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.76,35.64,1023.26,-0.09,-6.23,139.61,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.79,35.65,1023.26,0.28,-11.62,138.05,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.76,35.65,1023.26,0.7,-11.04,136.35,0.01,-0.02,0.97
33.12814,-96.68021,0.0,0,700.79,22.76,35.65,1023.5,-0.7,-1.5,133.28,-0.06,-0.03,0.98
33.12808,-96.68019,3.86,0,688.65,22.79,35.65,1023.26,-0.6,-1.36,131.7,0.01,-0.02,0.97
33.12808,-96.68019,0.0,0,688.32,22.93,35.65,1023.5,-0.57,4.43,130.37,0.01,-0.02,0.97
33.12808,-96.68019,0.0,0,688.32,23.16,35.67,1023.26,-0.49,4.46,129.06,0.01,-0.02,0.97
33.12808,-96.68019,0.0,0,687.99,23.4,35.72,1023.26,-0.43,4.47,127.72,0.01,-0.02,0.97
33.12808,-96.68019,0.0,0,688.32,23.67,35.74,1023.26,-0.39,9.97,126.35,0.01,-0.02,0.97
33.12808,-96.68019,0.0,0,688.32,23.91,35.73,1023.5,-0.4,9.71,125.11,0.01,-0.02,0.97
33.12808,-96.68019,0.0,0,688.32,24.11,35.71,1023.5,-0.43,15.05,123.99,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,688.98,24.28,35.73,1023.26,-0.56,14.76,122.85,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,689.3,24.38,35.77,1023.5,-0.71,14.42,121.76,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,689.3,24.45,36.02,1023.5,-0.94,19.63,120.66,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,689.3,24.48,36.1,1023.26,-0.8,18.72,119.62,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,689.3,24.52,36.1,1023.5,-0.83,12.59,118.95,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,689.3,24.48,36.09,1023.5,-0.93,12.26,118.11,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,689.3,24.48,36.06,1023.5,-60.1,9.34,129.8,0.02,-0.18,0.94
33.12808,-96.6802,0.0,0,689.3,24.48,35.97,1023.5,-69.9,6.92,130.94,0.16,-0.62,0.77
33.12808,-96.6802,0.0,0,689.3,24.42,35.93,1023.5,-71.26,5.81,129.46,0.18,-0.65,0.72
33.12808,-96.68021,2.74,0,690.94,24.42,35.93,1023.5,-68.1,4.09,132.82,0.2,-0.66,0.71
33.12808,-96.68021,2.57,0,690.94,24.38,35.96,1023.5,-66.33,4.39,134.12,0.19,-0.66,0.68
33.12808,-96.6802,0.0,0,690.94,24.35,35.9,1023.02,-57.32,1.11,145.6,0.22,-0.73,0.64
33.12808,-96.6802,0.0,0,690.94,24.28,35.84,1023.5,-31.76,-2.51,147.06,0.05,-0.03,0.95
33.12808,-96.6802,0.0,0,690.94,24.28,35.74,1023.5,-31.25,-8.14,148.71,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.25,35.65,1023.5,-30.33,-8.8,147.25,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.25,35.58,1023.5,-29.39,-9.51,145.81,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.21,35.54,1023.5,-28.37,-10.16,144.5,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.14,35.52,1023.5,-27.47,-10.75,143.36,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.14,35.49,1023.5,-27.1,-16.12,144.82,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.11,35.48,1023.5,-26.93,-21.25,146.24,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.08,35.45,1023.26,-26.88,-26.34,147.52,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.04,35.45,1023.5,-25.57,-26.21,145.85,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.01,35.46,1023.5,-24.12,-26.1,144.19,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,24.01,35.45,1023.5,-23.93,-30.91,145.11,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,23.98,35.42,1023.5,-23.85,-35.6,146.18,0.01,-0.02,0.97
33.12808,-96.6802,0.0,0,690.94,23.98,35.39,1023.5,-20.95,-29.92,141.84,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.91,35.39,1023.75,-18.93,-24.18,138.44,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.91,35.39,1023.75,-18.74,-29.14,139.19,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.87,35.37,1023.75,-17.61,-28.7,137.94,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.84,35.35,1023.5,-16.56,-28.26,136.6,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.84,35.33,1023.5,-15.53,-27.65,135.51,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.81,35.32,1023.75,-14.45,-26.98,134.3,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.77,35.33,1023.5,-14.33,-31.89,134.89,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.77,35.34,1023.5,-13.32,-31.07,133.91,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.77,35.35,1023.26,-11.85,-24.9,131.72,0.01,-0.02,0.97
33.12809,-96.68019,0.0,0,683.07,23.74,35.34,1023.5,-11.16,-24.53,130.88,0.01,-0.02,0.97
